YearMonthKey,MonthStart,LocationKey,SalesTarget
202602,2026-02-01,1,204881.04
202602,2026-02-01,2,218389.68
202602,2026-02-01,3,231898.32
202602,2026-02-01,4,245406.96
202602,2026-02-01,5,258915.6
202602,2026-02-01,6,272424.24
202603,2026-03-01,1,213370.66
202603,2026-03-01,2,227439.06
202603,2026-03-01,3,241507.45
202603,2026-03-01,4,255575.85
202603,2026-03-01,5,269644.24
202603,2026-03-01,6,283712.64
202604,2026-04-01,1,216478.08
202604,2026-04-01,2,230751.36
202604,2026-04-01,3,245024.64
202604,2026-04-01,4,259297.92
202604,2026-04-01,5,273571.2
202604,2026-04-01,6,287844.48
202605,2026-05-01,1,213370.66
202605,2026-05-01,2,227439.06
202605,2026-05-01,3,241507.45
202605,2026-05-01,4,255575.85
202605,2026-05-01,5,269644.24
202605,2026-05-01,6,283712.64
202606,2026-06-01,1,204881.04
202606,2026-06-01,2,218389.68
202606,2026-06-01,3,231898.32
202606,2026-06-01,4,245406.96
202606,2026-06-01,5,258915.6
202606,2026-06-01,6,272424.24
202607,2026-07-01,1,193284.0
202607,2026-07-01,2,206028.0
202607,2026-07-01,3,218772.0
202607,2026-07-01,4,231516.0
202607,2026-07-01,5,244260.0
202607,2026-07-01,6,257004.0
