entry_id,posting_date,item_id,location_id,entry_type,quantity
ILE00000056,2024-01-01,ITEM0020,LOC001,Adjustment,2
ILE00000057,2024-01-01,ITEM0021,LOC001,Purchase Receipt,75
ILE00000058,2024-01-01,ITEM0021,LOC001,Sales Shipment,-49
ILE00000059,2024-01-01,ITEM0022,LOC001,Purchase Receipt,61
ILE00000060,2024-01-01,ITEM0022,LOC001,Sales Shipment,-39
ILE00000061,2024-01-01,ITEM0022,LOC001,Adjustment,2
ILE00000062,2024-01-01,ITEM0023,LOC001,Purchase Receipt,68
ILE00000063,2024-01-01,ITEM0023,LOC001,Sales Shipment,-60
ILE00000064,2024-01-01,ITEM0023,LOC001,Adjustment,-3
ILE00000065,2024-01-01,ITEM0024,LOC001,Purchase Receipt,67
ILE00000066,2024-01-01,ITEM0024,LOC001,Sales Shipment,-29
ILE00000067,2024-01-01,ITEM0024,LOC001,Adjustment,2
ILE00000068,2024-01-01,ITEM0025,LOC001,Purchase Receipt,65
ILE00000069,2024-01-01,ITEM0025,LOC001,Sales Shipment,-37
ILE00000070,2024-01-01,ITEM0025,LOC001,Adjustment,-3
ILE00000071,2024-01-01,ITEM0026,LOC001,Purchase Receipt,60
ILE00000072,2024-01-01,ITEM0026,LOC001,Sales Shipment,-51
ILE00000073,2024-01-01,ITEM0026,LOC001,Adjustment,2
ILE00000074,2024-01-01,ITEM0027,LOC001,Purchase Receipt,74
ILE00000075,2024-01-01,ITEM0027,LOC001,Sales Shipment,-32
ILE00000076,2024-01-01,ITEM0027,LOC001,Adjustment,-1
ILE00000077,2024-01-01,ITEM0028,LOC001,Purchase Receipt,69
ILE00000078,2024-01-01,ITEM0028,LOC001,Sales Shipment,-46
ILE00000079,2024-01-01,ITEM0028,LOC001,Adjustment,-3
ILE00000080,2024-01-01,ITEM0029,LOC001,Purchase Receipt,60
ILE00000081,2024-01-01,ITEM0029,LOC001,Sales Shipment,-65
ILE00000082,2024-01-01,ITEM0030,LOC001,Purchase Receipt,90
ILE00000083,2024-01-01,ITEM0030,LOC001,Sales Shipment,-41
ILE00000084,2024-01-01,ITEM0030,LOC001,Adjustment,-2
ILE00000085,2024-01-01,ITEM0031,LOC001,Purchase Receipt,60
ILE00000086,2024-01-01,ITEM0031,LOC001,Sales Shipment,-62
ILE00000087,2024-01-01,ITEM0031,LOC001,Adjustment,3
ILE00000088,2024-01-01,ITEM0032,LOC001,Purchase Receipt,60
ILE00000089,2024-01-01,ITEM0032,LOC001,Sales Shipment,-89
ILE00000090,2024-01-01,ITEM0033,LOC001,Purchase Receipt,89
ILE00000091,2024-01-01,ITEM0033,LOC001,Sales Shipment,-49
ILE00000092,2024-01-01,ITEM0034,LOC001,Purchase Receipt,52
ILE00000093,2024-01-01,ITEM0034,LOC001,Sales Shipment,-62
ILE00000094,2024-01-01,ITEM0035,LOC001,Purchase Receipt,53
ILE00000095,2024-01-01,ITEM0035,LOC001,Sales Shipment,-40
ILE00000096,2024-01-01,ITEM0035,LOC001,Adjustment,2
ILE00000097,2024-01-01,ITEM0036,LOC001,Purchase Receipt,50
ILE00000098,2024-01-01,ITEM0036,LOC001,Sales Shipment,-63
ILE00000099,2024-01-01,ITEM0036,LOC001,Adjustment,-2
ILE00000100,2024-01-01,ITEM0037,LOC001,Purchase Receipt,79
ILE00000101,2024-01-01,ITEM0037,LOC001,Sales Shipment,-43
ILE00000102,2024-01-01,ITEM0037,LOC001,Adjustment,-3
ILE00000103,2024-01-01,ITEM0038,LOC001,Purchase Receipt,62
ILE00000104,2024-01-01,ITEM0038,LOC001,Sales Shipment,-61
ILE00000105,2024-01-01,ITEM0038,LOC001,Adjustment,3
ILE00000106,2024-01-01,ITEM0039,LOC001,Purchase Receipt,103
ILE00000107,2024-01-01,ITEM0039,LOC001,Sales Shipment,-54
ILE00000108,2024-01-01,ITEM0039,LOC001,Adjustment,-1
ILE00000109,2024-01-01,ITEM0040,LOC001,Purchase Receipt,54
ILE00000110,2024-01-01,ITEM0040,LOC001,Sales Shipment,-61
ILE00000111,2024-01-01,ITEM0040,LOC001,Adjustment,-1
ILE00000112,2024-01-01,ITEM0041,LOC001,Purchase Receipt,78
ILE00000113,2024-01-01,ITEM0041,LOC001,Sales Shipment,-59
ILE00000114,2024-01-01,ITEM0042,LOC001,Purchase Receipt,71
ILE00000115,2024-01-01,ITEM0042,LOC001,Sales Shipment,-9
ILE00000116,2024-01-01,ITEM0042,LOC001,Adjustment,3
ILE00000117,2024-01-01,ITEM0043,LOC001,Purchase Receipt,48
ILE00000118,2024-01-01,ITEM0043,LOC001,Sales Shipment,-46
ILE00000119,2024-01-01,ITEM0043,LOC001,Adjustment,-3
ILE00000120,2024-01-01,ITEM0044,LOC001,Purchase Receipt,72
ILE00000121,2024-01-01,ITEM0044,LOC001,Sales Shipment,-39
ILE00000122,2024-01-01,ITEM0044,LOC001,Adjustment,-3
ILE00000123,2024-01-01,ITEM0045,LOC001,Purchase Receipt,87
ILE00000124,2024-01-01,ITEM0045,LOC001,Sales Shipment,-38
ILE00000125,2024-01-01,ITEM0045,LOC001,Adjustment,3
ILE00000126,2024-01-01,ITEM0046,LOC001,Purchase Receipt,68
ILE00000127,2024-01-01,ITEM0046,LOC001,Sales Shipment,-55
ILE00000128,2024-01-01,ITEM0046,LOC001,Adjustment,-1
ILE00000129,2024-01-01,ITEM0047,LOC001,Purchase Receipt,59
ILE00000130,2024-01-01,ITEM0047,LOC001,Sales Shipment,-64
ILE00000131,2024-01-01,ITEM0047,LOC001,Adjustment,-3
ILE00000132,2024-01-01,ITEM0048,LOC001,Purchase Receipt,39
ILE00000133,2024-01-01,ITEM0048,LOC001,Sales Shipment,-68
ILE00000134,2024-01-01,ITEM0048,LOC001,Adjustment,-3
ILE00000135,2024-01-01,ITEM0049,LOC001,Purchase Receipt,69
ILE00000136,2024-01-01,ITEM0049,LOC001,Sales Shipment,-27
ILE00000137,2024-01-01,ITEM0050,LOC001,Purchase Receipt,78
ILE00000138,2024-01-01,ITEM0050,LOC001,Sales Shipment,-19
ILE00000139,2024-01-01,ITEM0050,LOC001,Adjustment,3
ILE00000140,2024-01-01,ITEM0051,LOC001,Purchase Receipt,117
ILE00000141,2024-01-01,ITEM0051,LOC001,Sales Shipment,-77
ILE00000142,2024-01-01,ITEM0051,LOC001,Adjustment,1
ILE00000143,2024-01-01,ITEM0052,LOC001,Purchase Receipt,98
ILE00000144,2024-01-01,ITEM0052,LOC001,Sales Shipment,-72
ILE00000145,2024-01-01,ITEM0053,LOC001,Purchase Receipt,94
ILE00000146,2024-01-01,ITEM0053,LOC001,Sales Shipment,-81
ILE00000147,2024-01-01,ITEM0053,LOC001,Adjustment,2
ILE00000148,2024-01-01,ITEM0054,LOC001,Purchase Receipt,91
ILE00000149,2024-01-01,ITEM0054,LOC001,Sales Shipment,-57
ILE00000150,2024-01-01,ITEM0054,LOC001,Adjustment,2
ILE00000151,2024-01-01,ITEM0055,LOC001,Purchase Receipt,93
ILE00000152,2024-01-01,ITEM0055,LOC001,Sales Shipment,-41
ILE00000153,2024-01-01,ITEM0055,LOC001,Adjustment,3
ILE00000154,2024-01-01,ITEM0056,LOC001,Purchase Receipt,75
ILE00000155,2024-01-01,ITEM0056,LOC001,Sales Shipment,-41
ILE00000156,2024-01-01,ITEM0056,LOC001,Adjustment,1
ILE00000157,2024-01-01,ITEM0057,LOC001,Purchase Receipt,64
ILE00000158,2024-01-01,ITEM0057,LOC001,Sales Shipment,-59
ILE00000159,2024-01-01,ITEM0057,LOC001,Adjustment,-3
ILE00000160,2024-01-01,ITEM0058,LOC001,Purchase Receipt,80
ILE00000161,2024-01-01,ITEM0058,LOC001,Sales Shipment,-43
ILE00000162,2024-01-01,ITEM0058,LOC001,Adjustment,3
ILE00000163,2024-01-01,ITEM0059,LOC001,Purchase Receipt,41
ILE00000164,2024-01-01,ITEM0059,LOC001,Sales Shipment,-33
ILE00000165,2024-01-01,ITEM0059,LOC001,Adjustment,-3
ILE00000166,2024-01-01,ITEM0060,LOC001,Purchase Receipt,72
ILE00000167,2024-01-01,ITEM0060,LOC001,Sales Shipment,-35
ILE00000168,2024-01-01,ITEM0060,LOC001,Adjustment,1
ILE00000169,2024-01-01,ITEM0061,LOC001,Purchase Receipt,71
ILE00000170,2024-01-01,ITEM0061,LOC001,Sales Shipment,-51
ILE00000171,2024-01-01,ITEM0061,LOC001,Adjustment,-2
ILE00000172,2024-01-01,ITEM0062,LOC001,Purchase Receipt,86
ILE00000173,2024-01-01,ITEM0062,LOC001,Sales Shipment,-39
ILE00000174,2024-01-01,ITEM0062,LOC001,Adjustment,-1
ILE00000175,2024-01-01,ITEM0063,LOC001,Purchase Receipt,46
ILE00000176,2024-01-01,ITEM0063,LOC001,Sales Shipment,-64
ILE00000177,2024-01-01,ITEM0063,LOC001,Adjustment,-3
ILE00000178,2024-01-01,ITEM0064,LOC001,Purchase Receipt,82
ILE00000179,2024-01-01,ITEM0064,LOC001,Sales Shipment,-46
ILE00000180,2024-01-01,ITEM0065,LOC001,Purchase Receipt,86
ILE00000181,2024-01-01,ITEM0065,LOC001,Sales Shipment,-46
ILE00000182,2024-01-01,ITEM0065,LOC001,Adjustment,1
ILE00000183,2024-01-01,ITEM0066,LOC001,Purchase Receipt,49
ILE00000184,2024-01-01,ITEM0066,LOC001,Sales Shipment,-70
ILE00000185,2024-01-01,ITEM0066,LOC001,Adjustment,-3
ILE00000186,2024-01-01,ITEM0067,LOC001,Purchase Receipt,79
ILE00000187,2024-01-01,ITEM0067,LOC001,Sales Shipment,-61
ILE00000188,2024-01-01,ITEM0067,LOC001,Adjustment,3
ILE00000189,2024-01-01,ITEM0068,LOC001,Purchase Receipt,77
ILE00000190,2024-01-01,ITEM0068,LOC001,Sales Shipment,-52
ILE00000191,2024-01-01,ITEM0068,LOC001,Adjustment,-2
ILE00000192,2024-01-01,ITEM0069,LOC001,Purchase Receipt,72
ILE00000193,2024-01-01,ITEM0069,LOC001,Sales Shipment,-68
ILE00000194,2024-01-01,ITEM0069,LOC001,Adjustment,3
ILE00000195,2024-01-01,ITEM0070,LOC001,Purchase Receipt,73
ILE00000196,2024-01-01,ITEM0070,LOC001,Sales Shipment,-54
ILE00000197,2024-01-01,ITEM0070,LOC001,Adjustment,2
ILE00000198,2024-01-01,ITEM0071,LOC001,Purchase Receipt,49
ILE00000199,2024-01-01,ITEM0071,LOC001,Sales Shipment,-31
ILE00000200,2024-01-01,ITEM0071,LOC001,Adjustment,1
ILE00000201,2024-01-01,ITEM0072,LOC001,Purchase Receipt,62
ILE00000202,2024-01-01,ITEM0072,LOC001,Sales Shipment,-37
ILE00000203,2024-01-01,ITEM0072,LOC001,Adjustment,3
ILE00000204,2024-01-01,ITEM0073,LOC001,Purchase Receipt,68
ILE00000205,2024-01-01,ITEM0073,LOC001,Sales Shipment,-11
ILE00000206,2024-01-01,ITEM0073,LOC001,Adjustment,2
ILE00000207,2024-01-01,ITEM0074,LOC001,Purchase Receipt,58
ILE00000208,2024-01-01,ITEM0074,LOC001,Sales Shipment,-59
ILE00000209,2024-01-01,ITEM0075,LOC001,Purchase Receipt,86
ILE00000210,2024-01-01,ITEM0075,LOC001,Sales Shipment,-25
ILE00000211,2024-01-01,ITEM0075,LOC001,Adjustment,-3
ILE00000212,2024-01-01,ITEM0076,LOC001,Purchase Receipt,65
ILE00000213,2024-01-01,ITEM0076,LOC001,Sales Shipment,-45
ILE00000214,2024-01-01,ITEM0076,LOC001,Adjustment,-3
ILE00000215,2024-01-01,ITEM0077,LOC001,Purchase Receipt,71
ILE00000216,2024-01-01,ITEM0077,LOC001,Sales Shipment,-36
ILE00000217,2024-01-01,ITEM0077,LOC001,Adjustment,1
ILE00000218,2024-01-01,ITEM0078,LOC001,Purchase Receipt,55
ILE00000219,2024-01-01,ITEM0078,LOC001,Sales Shipment,-57
ILE00000220,2024-01-01,ITEM0078,LOC001,Adjustment,3
ILE00000221,2024-01-01,ITEM0079,LOC001,Purchase Receipt,56
ILE00000222,2024-01-01,ITEM0079,LOC001,Sales Shipment,-40
ILE00000223,2024-01-01,ITEM0079,LOC001,Adjustment,2
ILE00000224,2024-01-01,ITEM0080,LOC001,Purchase Receipt,68
ILE00000225,2024-01-01,ITEM0080,LOC001,Sales Shipment,-35
ILE00000226,2024-01-01,ITEM0080,LOC001,Adjustment,2
ILE00000227,2024-01-01,ITEM0081,LOC001,Purchase Receipt,78
ILE00000228,2024-01-01,ITEM0081,LOC001,Sales Shipment,-46
ILE00000229,2024-01-01,ITEM0081,LOC001,Adjustment,-3
ILE00000230,2024-01-01,ITEM0082,LOC001,Purchase Receipt,59
ILE00000231,2024-01-01,ITEM0082,LOC001,Sales Shipment,-56
ILE00000232,2024-01-01,ITEM0082,LOC001,Adjustment,2
ILE00000233,2024-01-01,ITEM0083,LOC001,Purchase Receipt,48
ILE00000234,2024-01-01,ITEM0083,LOC001,Sales Shipment,-28
ILE00000235,2024-01-01,ITEM0083,LOC001,Adjustment,-3
ILE00000236,2024-01-01,ITEM0084,LOC001,Purchase Receipt,72
ILE00000237,2024-01-01,ITEM0084,LOC001,Sales Shipment,-43
ILE00000238,2024-01-01,ITEM0084,LOC001,Adjustment,1
ILE00000239,2024-01-01,ITEM0085,LOC001,Purchase Receipt,54
ILE00000240,2024-01-01,ITEM0085,LOC001,Sales Shipment,-35
ILE00000241,2024-01-01,ITEM0085,LOC001,Adjustment,1
ILE00000242,2024-01-01,ITEM0086,LOC001,Purchase Receipt,69
ILE00000243,2024-01-01,ITEM0086,LOC001,Sales Shipment,-33
ILE00000244,2024-01-01,ITEM0086,LOC001,Adjustment,-3
ILE00000245,2024-01-01,ITEM0087,LOC001,Purchase Receipt,104
ILE00000246,2024-01-01,ITEM0087,LOC001,Sales Shipment,-45
ILE00000247,2024-01-01,ITEM0087,LOC001,Adjustment,1
ILE00000248,2024-01-01,ITEM0088,LOC001,Purchase Receipt,91
ILE00000249,2024-01-01,ITEM0088,LOC001,Sales Shipment,-76
ILE00000250,2024-01-01,ITEM0088,LOC001,Adjustment,1
ILE00000251,2024-01-01,ITEM0089,LOC001,Purchase Receipt,74
ILE00000252,2024-01-01,ITEM0089,LOC001,Sales Shipment,-38
ILE00000253,2024-01-01,ITEM0089,LOC001,Adjustment,3
ILE00000254,2024-01-01,ITEM0090,LOC001,Purchase Receipt,80
ILE00000255,2024-01-01,ITEM0090,LOC001,Sales Shipment,-33
ILE00000256,2024-01-01,ITEM0090,LOC001,Adjustment,-2
ILE00000257,2024-01-01,ITEM0091,LOC001,Purchase Receipt,75
ILE00000258,2024-01-01,ITEM0091,LOC001,Sales Shipment,-56
ILE00000259,2024-01-01,ITEM0091,LOC001,Adjustment,-1
ILE00000260,2024-01-01,ITEM0092,LOC001,Purchase Receipt,84
ILE00000261,2024-01-01,ITEM0092,LOC001,Sales Shipment,-57
ILE00000262,2024-01-01,ITEM0093,LOC001,Purchase Receipt,67
ILE00000263,2024-01-01,ITEM0093,LOC001,Sales Shipment,-55
ILE00000264,2024-01-01,ITEM0093,LOC001,Adjustment,-1
ILE00000265,2024-01-01,ITEM0094,LOC001,Purchase Receipt,86
ILE00000266,2024-01-01,ITEM0094,LOC001,Sales Shipment,-39
ILE00000267,2024-01-01,ITEM0094,LOC001,Adjustment,-2
ILE00000268,2024-01-01,ITEM0095,LOC001,Purchase Receipt,96
ILE00000269,2024-01-01,ITEM0095,LOC001,Sales Shipment,-37
ILE00000270,2024-01-01,ITEM0095,LOC001,Adjustment,2
ILE00000271,2024-01-01,ITEM0096,LOC001,Purchase Receipt,83
ILE00000272,2024-01-01,ITEM0096,LOC001,Sales Shipment,-43
ILE00000273,2024-01-01,ITEM0096,LOC001,Adjustment,2
ILE00000274,2024-01-01,ITEM0097,LOC001,Purchase Receipt,75
ILE00000275,2024-01-01,ITEM0097,LOC001,Sales Shipment,-32
ILE00000276,2024-01-01,ITEM0097,LOC001,Adjustment,-1
ILE00000277,2024-01-01,ITEM0098,LOC001,Purchase Receipt,76
ILE00000278,2024-01-01,ITEM0098,LOC001,Sales Shipment,-44
ILE00000279,2024-01-01,ITEM0098,LOC001,Adjustment,-2
ILE00000280,2024-01-01,ITEM0099,LOC001,Purchase Receipt,47
ILE00000281,2024-01-01,ITEM0099,LOC001,Sales Shipment,-43
ILE00000282,2024-01-01,ITEM0099,LOC001,Adjustment,3
ILE00000283,2024-01-01,ITEM0100,LOC001,Purchase Receipt,111
ILE00000284,2024-01-01,ITEM0100,LOC001,Sales Shipment,-66
ILE00000285,2024-01-01,ITEM0100,LOC001,Adjustment,-1
ILE00000286,2024-01-01,ITEM0001,LOC002,Purchase Receipt,96
ILE00000287,2024-01-01,ITEM0001,LOC002,Sales Shipment,-45
ILE00000288,2024-01-01,ITEM0001,LOC002,Adjustment,3
ILE00000289,2024-01-01,ITEM0002,LOC002,Purchase Receipt,86
ILE00000290,2024-01-01,ITEM0002,LOC002,Sales Shipment,-68
ILE00000291,2024-01-01,ITEM0002,LOC002,Adjustment,1
ILE00000292,2024-01-01,ITEM0003,LOC002,Purchase Receipt,64
ILE00000293,2024-01-01,ITEM0003,LOC002,Sales Shipment,-63
ILE00000294,2024-01-01,ITEM0003,LOC002,Adjustment,2
ILE00000295,2024-01-01,ITEM0004,LOC002,Purchase Receipt,56
ILE00000296,2024-01-01,ITEM0004,LOC002,Sales Shipment,-38
ILE00000297,2024-01-01,ITEM0004,LOC002,Adjustment,-2
ILE00000298,2024-01-01,ITEM0005,LOC002,Purchase Receipt,72
ILE00000299,2024-01-01,ITEM0005,LOC002,Sales Shipment,-85
ILE00000300,2024-01-01,ITEM0006,LOC002,Purchase Receipt,68
ILE00000301,2024-01-01,ITEM0006,LOC002,Sales Shipment,-69
ILE00000302,2024-01-01,ITEM0006,LOC002,Adjustment,1
ILE00000303,2024-01-01,ITEM0007,LOC002,Purchase Receipt,69
ILE00000304,2024-01-01,ITEM0007,LOC002,Sales Shipment,-52
ILE00000305,2024-01-01,ITEM0007,LOC002,Adjustment,-3
ILE00000306,2024-01-01,ITEM0008,LOC002,Purchase Receipt,47
ILE00000307,2024-01-01,ITEM0008,LOC002,Sales Shipment,-30
ILE00000308,2024-01-01,ITEM0008,LOC002,Adjustment,2
ILE00000309,2024-01-01,ITEM0009,LOC002,Purchase Receipt,87
ILE00000310,2024-01-01,ITEM0009,LOC002,Sales Shipment,-58
ILE00000311,2024-01-01,ITEM0009,LOC002,Adjustment,-3
ILE00000312,2024-01-01,ITEM0010,LOC002,Purchase Receipt,67
ILE00000313,2024-01-01,ITEM0010,LOC002,Sales Shipment,-44
ILE00000314,2024-01-01,ITEM0011,LOC002,Purchase Receipt,56
ILE00000315,2024-01-01,ITEM0011,LOC002,Sales Shipment,-61
ILE00000316,2024-01-01,ITEM0012,LOC002,Purchase Receipt,54
ILE00000317,2024-01-01,ITEM0012,LOC002,Sales Shipment,-77
ILE00000318,2024-01-01,ITEM0013,LOC002,Purchase Receipt,67
ILE00000319,2024-01-01,ITEM0013,LOC002,Sales Shipment,-49
ILE00000320,2024-01-01,ITEM0013,LOC002,Adjustment,3
ILE00000321,2024-01-01,ITEM0014,LOC002,Purchase Receipt,77
ILE00000322,2024-01-01,ITEM0014,LOC002,Sales Shipment,-34
ILE00000323,2024-01-01,ITEM0015,LOC002,Purchase Receipt,95
ILE00000324,2024-01-01,ITEM0015,LOC002,Sales Shipment,-61
ILE00000325,2024-01-01,ITEM0016,LOC002,Purchase Receipt,96
ILE00000326,2024-01-01,ITEM0016,LOC002,Sales Shipment,-55
ILE00000327,2024-01-01,ITEM0016,LOC002,Adjustment,3
ILE00000328,2024-01-01,ITEM0017,LOC002,Purchase Receipt,87
ILE00000329,2024-01-01,ITEM0017,LOC002,Sales Shipment,-52
ILE00000330,2024-01-01,ITEM0017,LOC002,Adjustment,3
ILE00000331,2024-01-01,ITEM0018,LOC002,Purchase Receipt,50
ILE00000332,2024-01-01,ITEM0018,LOC002,Sales Shipment,-62
ILE00000333,2024-01-01,ITEM0019,LOC002,Purchase Receipt,52
ILE00000334,2024-01-01,ITEM0019,LOC002,Sales Shipment,-52
ILE00000335,2024-01-01,ITEM0019,LOC002,Adjustment,3
ILE00000336,2024-01-01,ITEM0020,LOC002,Purchase Receipt,86
ILE00000337,2024-01-01,ITEM0020,LOC002,Sales Shipment,-73
ILE00000338,2024-01-01,ITEM0020,LOC002,Adjustment,-3
ILE00000339,2024-01-01,ITEM0021,LOC002,Purchase Receipt,66
ILE00000340,2024-01-01,ITEM0021,LOC002,Sales Shipment,-48
ILE00000341,2024-01-01,ITEM0021,LOC002,Adjustment,3
ILE00000342,2024-01-01,ITEM0022,LOC002,Purchase Receipt,73
ILE00000343,2024-01-01,ITEM0022,LOC002,Sales Shipment,-51
ILE00000344,2024-01-01,ITEM0022,LOC002,Adjustment,2
ILE00000345,2024-01-01,ITEM0023,LOC002,Purchase Receipt,41
ILE00000346,2024-01-01,ITEM0023,LOC002,Sales Shipment,-60
ILE00000347,2024-01-01,ITEM0023,LOC002,Adjustment,3
ILE00000348,2024-01-01,ITEM0024,LOC002,Purchase Receipt,84
ILE00000349,2024-01-01,ITEM0024,LOC002,Sales Shipment,-42
ILE00000350,2024-01-01,ITEM0025,LOC002,Purchase Receipt,75
ILE00000351,2024-01-01,ITEM0025,LOC002,Sales Shipment,-57
ILE00000352,2024-01-01,ITEM0026,LOC002,Purchase Receipt,79
ILE00000353,2024-01-01,ITEM0026,LOC002,Sales Shipment,-51
ILE00000354,2024-01-01,ITEM0026,LOC002,Adjustment,-2
ILE00000355,2024-01-01,ITEM0027,LOC002,Purchase Receipt,47
ILE00000356,2024-01-01,ITEM0027,LOC002,Sales Shipment,-49
ILE00000357,2024-01-01,ITEM0028,LOC002,Purchase Receipt,59
ILE00000358,2024-01-01,ITEM0028,LOC002,Sales Shipment,-40
ILE00000359,2024-01-01,ITEM0028,LOC002,Adjustment,1
ILE00000360,2024-01-01,ITEM0029,LOC002,Purchase Receipt,88
ILE00000361,2024-01-01,ITEM0029,LOC002,Sales Shipment,-41
ILE00000362,2024-01-01,ITEM0030,LOC002,Purchase Receipt,83
ILE00000363,2024-01-01,ITEM0030,LOC002,Sales Shipment,-54
ILE00000364,2024-01-01,ITEM0030,LOC002,Adjustment,-3
ILE00000365,2024-01-01,ITEM0031,LOC002,Purchase Receipt,100
ILE00000366,2024-01-01,ITEM0031,LOC002,Sales Shipment,-25
ILE00000367,2024-01-01,ITEM0031,LOC002,Adjustment,2
ILE00000368,2024-01-01,ITEM0032,LOC002,Purchase Receipt,42
ILE00000369,2024-01-01,ITEM0032,LOC002,Sales Shipment,-55
ILE00000370,2024-01-01,ITEM0033,LOC002,Purchase Receipt,73
ILE00000371,2024-01-01,ITEM0033,LOC002,Sales Shipment,-46
ILE00000372,2024-01-01,ITEM0034,LOC002,Purchase Receipt,83
ILE00000373,2024-01-01,ITEM0034,LOC002,Sales Shipment,-22
ILE00000374,2024-01-01,ITEM0035,LOC002,Purchase Receipt,55
ILE00000375,2024-01-01,ITEM0035,LOC002,Sales Shipment,-66
ILE00000376,2024-01-01,ITEM0035,LOC002,Adjustment,1
ILE00000377,2024-01-01,ITEM0036,LOC002,Purchase Receipt,69
ILE00000378,2024-01-01,ITEM0036,LOC002,Sales Shipment,-57
ILE00000379,2024-01-01,ITEM0036,LOC002,Adjustment,-3
ILE00000380,2024-01-01,ITEM0037,LOC002,Purchase Receipt,80
ILE00000381,2024-01-01,ITEM0037,LOC002,Sales Shipment,-39
ILE00000382,2024-01-01,ITEM0037,LOC002,Adjustment,-1
ILE00000383,2024-01-01,ITEM0038,LOC002,Purchase Receipt,51
ILE00000384,2024-01-01,ITEM0038,LOC002,Sales Shipment,-59
