sales_order_id,order_date,customer_id,location_id,salesperson_id,sales_channel,document_status,currency_code
SO100058,2024-01-04,CUST0028,LOC005,SP013,E-commerce,Posted,USD
SO100059,2024-01-04,CUST0134,LOC003,SP007,Partner,Posted,USD
SO100060,2024-01-04,CUST0220,LOC005,SP014,Partner,Posted,USD
SO100061,2024-01-04,CUST0098,LOC003,SP007,Direct,Posted,USD
SO100062,2024-01-04,CUST0009,LOC002,SP005,Direct,Posted,USD
SO100063,2024-01-04,CUST0130,LOC001,SP001,E-commerce,Posted,USD
SO100064,2024-01-04,CUST0205,LOC006,SP016,Direct,Posted,USD
SO100065,2024-01-04,CUST0238,LOC002,SP004,Direct,Posted,USD
SO100066,2024-01-04,CUST0044,LOC005,SP014,E-commerce,Posted,USD
SO100067,2024-01-04,CUST0005,LOC003,SP007,Direct,Posted,USD
SO100068,2024-01-04,CUST0090,LOC006,SP018,Partner,Posted,USD
SO100069,2024-01-04,CUST0071,LOC006,SP016,Direct,Posted,USD
SO100070,2024-01-04,CUST0220,LOC005,SP015,E-commerce,Posted,USD
SO100071,2024-01-04,CUST0056,LOC005,SP015,Partner,Posted,USD
SO100072,2024-01-04,CUST0148,LOC003,SP009,Partner,Posted,USD
SO100073,2024-01-04,CUST0031,LOC005,SP014,Partner,Posted,USD
SO100074,2024-01-04,CUST0259,LOC005,SP015,Direct,Posted,USD
SO100075,2024-01-04,CUST0062,LOC006,SP017,Direct,Posted,USD
SO100076,2024-01-04,CUST0115,LOC001,SP001,E-commerce,Posted,USD
SO100077,2024-01-04,CUST0139,LOC001,SP001,Direct,Posted,USD
SO100078,2024-01-04,CUST0121,LOC004,SP010,E-commerce,Posted,USD
SO100079,2024-01-04,CUST0080,LOC001,SP002,Partner,Posted,USD
SO100080,2024-01-05,CUST0295,LOC001,SP003,Direct,Posted,USD
SO100081,2024-01-05,CUST0230,LOC003,SP009,E-commerce,Posted,USD
SO100082,2024-01-05,CUST0221,LOC003,SP008,Direct,Posted,USD
SO100083,2024-01-05,CUST0086,LOC002,SP005,Direct,Posted,USD
SO100084,2024-01-05,CUST0082,LOC005,SP015,Direct,Posted,USD
SO100085,2024-01-05,CUST0052,LOC002,SP004,Direct,Posted,USD
SO100086,2024-01-05,CUST0292,LOC004,SP012,Direct,Posted,USD
SO100087,2024-01-05,CUST0049,LOC003,SP008,E-commerce,Posted,USD
SO100088,2024-01-05,CUST0033,LOC006,SP017,Partner,Posted,USD
SO100089,2024-01-05,CUST0159,LOC006,SP018,Direct,Posted,USD
SO100090,2024-01-05,CUST0039,LOC002,SP004,Direct,Posted,USD
SO100091,2024-01-05,CUST0271,LOC004,SP010,Partner,Posted,USD
SO100092,2024-01-05,CUST0093,LOC006,SP016,Direct,Posted,USD
SO100093,2024-01-05,CUST0078,LOC006,SP018,Partner,Posted,USD
SO100094,2024-01-05,CUST0156,LOC004,SP012,Direct,Posted,USD
SO100095,2024-01-05,CUST0280,LOC002,SP005,E-commerce,Posted,USD
SO100096,2024-01-05,CUST0287,LOC001,SP002,Direct,Posted,USD
SO100097,2024-01-05,CUST0142,LOC006,SP017,E-commerce,Posted,USD
SO100098,2024-01-06,CUST0196,LOC005,SP014,E-commerce,Posted,USD
SO100099,2024-01-06,CUST0029,LOC003,SP008,E-commerce,Posted,USD
SO100100,2024-01-06,CUST0175,LOC005,SP015,Direct,Posted,USD
SO100101,2024-01-06,CUST0040,LOC005,SP015,Direct,Posted,USD
SO100102,2024-01-06,CUST0134,LOC001,SP001,Direct,Posted,USD
SO100103,2024-01-06,CUST0182,LOC003,SP008,E-commerce,Posted,USD
SO100104,2024-01-06,CUST0128,LOC002,SP005,E-commerce,Posted,USD
SO100105,2024-01-06,CUST0208,LOC002,SP004,Direct,Posted,USD
SO100106,2024-01-06,CUST0068,LOC003,SP009,Partner,Posted,USD
SO100107,2024-01-07,CUST0074,LOC005,SP015,Partner,Posted,USD
SO100108,2024-01-07,CUST0218,LOC001,SP003,E-commerce,Posted,USD
SO100109,2024-01-07,CUST0005,LOC001,SP003,Direct,Posted,USD
SO100110,2024-01-07,CUST0187,LOC004,SP012,E-commerce,Posted,USD
SO100111,2024-01-07,CUST0108,LOC002,SP004,Direct,Posted,USD
SO100112,2024-01-07,CUST0060,LOC006,SP016,Direct,Posted,USD
SO100113,2024-01-07,CUST0292,LOC004,SP010,Direct,Posted,USD
SO100114,2024-01-07,CUST0250,LOC001,SP002,E-commerce,Posted,USD
SO100115,2024-01-07,CUST0175,LOC004,SP012,Direct,Posted,USD
SO100116,2024-01-08,CUST0086,LOC002,SP005,E-commerce,Posted,USD
SO100117,2024-01-08,CUST0010,LOC004,SP011,E-commerce,Posted,USD
SO100118,2024-01-08,CUST0300,LOC004,SP011,E-commerce,Posted,USD
SO100119,2024-01-08,CUST0257,LOC001,SP001,E-commerce,Posted,USD
SO100120,2024-01-08,CUST0014,LOC002,SP004,Direct,Posted,USD
SO100121,2024-01-08,CUST0057,LOC006,SP016,Partner,Posted,USD
SO100122,2024-01-08,CUST0210,LOC001,SP001,E-commerce,Posted,USD
SO100123,2024-01-08,CUST0251,LOC003,SP007,E-commerce,Posted,USD
SO100124,2024-01-08,CUST0209,LOC002,SP005,Direct,Posted,USD
SO100125,2024-01-08,CUST0029,LOC005,SP013,Partner,Posted,USD
SO100126,2024-01-08,CUST0197,LOC005,SP014,E-commerce,Posted,USD
SO100127,2024-01-08,CUST0135,LOC003,SP009,Partner,Posted,USD
SO100128,2024-01-08,CUST0061,LOC001,SP003,Direct,Posted,USD
SO100129,2024-01-08,CUST0114,LOC005,SP015,Direct,Posted,USD
SO100130,2024-01-08,CUST0004,LOC001,SP003,E-commerce,Posted,USD
SO100131,2024-01-08,CUST0184,LOC001,SP001,E-commerce,Posted,USD
SO100132,2024-01-08,CUST0043,LOC001,SP001,E-commerce,Posted,USD
SO100133,2024-01-08,CUST0116,LOC003,SP008,Direct,Posted,USD
SO100134,2024-01-08,CUST0025,LOC001,SP001,Direct,Posted,USD
SO100135,2024-01-09,CUST0267,LOC006,SP016,E-commerce,Posted,USD
SO100136,2024-01-09,CUST0028,LOC005,SP014,Partner,Posted,USD
SO100137,2024-01-09,CUST0186,LOC005,SP015,Direct,Posted,USD
SO100138,2024-01-09,CUST0081,LOC002,SP004,Direct,Posted,USD
SO100139,2024-01-09,CUST0198,LOC003,SP009,E-commerce,Posted,USD
SO100140,2024-01-09,CUST0137,LOC003,SP008,Partner,Posted,USD
SO100141,2024-01-09,CUST0241,LOC003,SP007,Partner,Posted,USD
SO100142,2024-01-09,CUST0250,LOC001,SP002,E-commerce,Posted,USD
SO100143,2024-01-09,CUST0164,LOC004,SP011,Direct,Posted,USD
SO100144,2024-01-09,CUST0065,LOC003,SP008,E-commerce,Posted,USD
SO100145,2024-01-09,CUST0031,LOC006,SP016,Direct,Posted,USD
SO100146,2024-01-09,CUST0276,LOC001,SP002,E-commerce,Posted,USD
SO100147,2024-01-09,CUST0103,LOC001,SP003,E-commerce,Posted,USD
SO100148,2024-01-09,CUST0215,LOC003,SP007,Direct,Posted,USD
SO100149,2024-01-09,CUST0279,LOC002,SP006,Direct,Posted,USD
SO100150,2024-01-09,CUST0292,LOC002,SP004,Partner,Posted,USD
SO100151,2024-01-10,CUST0131,LOC004,SP010,Direct,Posted,USD
SO100152,2024-01-10,CUST0196,LOC001,SP003,Direct,Posted,USD
SO100153,2024-01-10,CUST0165,LOC001,SP001,Direct,Posted,USD
SO100154,2024-01-10,CUST0024,LOC004,SP011,Partner,Posted,USD
SO100155,2024-01-10,CUST0084,LOC003,SP007,Direct,Posted,USD
SO100156,2024-01-10,CUST0296,LOC005,SP013,Direct,Posted,USD
SO100157,2024-01-10,CUST0083,LOC002,SP006,Partner,Posted,USD
SO100158,2024-01-10,CUST0081,LOC001,SP001,Direct,Posted,USD
SO100159,2024-01-11,CUST0262,LOC005,SP014,Direct,Posted,USD
SO100160,2024-01-11,CUST0265,LOC004,SP012,Partner,Posted,USD
SO100161,2024-01-11,CUST0268,LOC001,SP001,Direct,Posted,USD
SO100162,2024-01-11,CUST0196,LOC002,SP004,E-commerce,Posted,USD
SO100163,2024-01-11,CUST0278,LOC004,SP011,E-commerce,Posted,USD
SO100164,2024-01-11,CUST0252,LOC005,SP014,E-commerce,Posted,USD
SO100165,2024-01-11,CUST0145,LOC002,SP006,Direct,Posted,USD
SO100166,2024-01-11,CUST0245,LOC005,SP013,E-commerce,Posted,USD
SO100167,2024-01-11,CUST0024,LOC003,SP009,Partner,Posted,USD
SO100168,2024-01-11,CUST0234,LOC005,SP013,E-commerce,Posted,USD
SO100169,2024-01-11,CUST0168,LOC001,SP002,E-commerce,Posted,USD
SO100170,2024-01-11,CUST0141,LOC003,SP009,Direct,Posted,USD
SO100171,2024-01-11,CUST0066,LOC001,SP001,E-commerce,Posted,USD
SO100172,2024-01-11,CUST0067,LOC004,SP012,Direct,Posted,USD
SO100173,2024-01-11,CUST0098,LOC002,SP004,Partner,Posted,USD
SO100174,2024-01-11,CUST0172,LOC001,SP001,Direct,Posted,USD
SO100175,2024-01-11,CUST0156,LOC001,SP001,Direct,Posted,USD
SO100176,2024-01-12,CUST0016,LOC004,SP010,Direct,Posted,USD
SO100177,2024-01-12,CUST0158,LOC001,SP003,Direct,Posted,USD
SO100178,2024-01-12,CUST0033,LOC002,SP006,E-commerce,Posted,USD
SO100179,2024-01-12,CUST0120,LOC002,SP005,Direct,Posted,USD
SO100180,2024-01-12,CUST0274,LOC001,SP001,E-commerce,Posted,USD
SO100181,2024-01-12,CUST0133,LOC005,SP013,Direct,Posted,USD
SO100182,2024-01-12,CUST0240,LOC006,SP017,E-commerce,Posted,USD
SO100183,2024-01-12,CUST0293,LOC003,SP009,Direct,Posted,USD
SO100184,2024-01-12,CUST0077,LOC001,SP002,E-commerce,Posted,USD
SO100185,2024-01-12,CUST0152,LOC006,SP016,Direct,Posted,USD
SO100186,2024-01-12,CUST0028,LOC001,SP003,Partner,Posted,USD
SO100187,2024-01-12,CUST0281,LOC001,SP001,Direct,Posted,USD
SO100188,2024-01-13,CUST0089,LOC006,SP018,Direct,Posted,USD
SO100189,2024-01-13,CUST0296,LOC004,SP011,E-commerce,Posted,USD
SO100190,2024-01-13,CUST0185,LOC006,SP016,Partner,Posted,USD
SO100191,2024-01-13,CUST0167,LOC006,SP016,E-commerce,Posted,USD
SO100192,2024-01-13,CUST0202,LOC004,SP010,Direct,Posted,USD
SO100193,2024-01-13,CUST0239,LOC003,SP007,Direct,Posted,USD
SO100194,2024-01-13,CUST0243,LOC003,SP009,Partner,Posted,USD
SO100195,2024-01-13,CUST0256,LOC001,SP002,Direct,Posted,USD
SO100196,2024-01-14,CUST0031,LOC003,SP008,Direct,Posted,USD
SO100197,2024-01-14,CUST0087,LOC004,SP011,E-commerce,Posted,USD
SO100198,2024-01-14,CUST0292,LOC003,SP009,Direct,Posted,USD
SO100199,2024-01-14,CUST0272,LOC003,SP007,E-commerce,Posted,USD
SO100200,2024-01-14,CUST0217,LOC004,SP011,E-commerce,Posted,USD
SO100201,2024-01-14,CUST0010,LOC001,SP001,Direct,Posted,USD
SO100202,2024-01-14,CUST0286,LOC004,SP012,Direct,Posted,USD
SO100203,2024-01-14,CUST0222,LOC003,SP008,E-commerce,Posted,USD
SO100204,2024-01-14,CUST0283,LOC005,SP013,Direct,Posted,USD
SO100205,2024-01-14,CUST0282,LOC001,SP001,Direct,Posted,USD
SO100206,2024-01-15,CUST0177,LOC004,SP010,E-commerce,Posted,USD
SO100207,2024-01-15,CUST0200,LOC003,SP007,Direct,Posted,USD
SO100208,2024-01-15,CUST0225,LOC002,SP005,Direct,Posted,USD
SO100209,2024-01-15,CUST0132,LOC001,SP002,Direct,Posted,USD
SO100210,2024-01-15,CUST0237,LOC001,SP001,E-commerce,Posted,USD
SO100211,2024-01-15,CUST0095,LOC001,SP002,Direct,Posted,USD
SO100212,2024-01-15,CUST0188,LOC004,SP010,Direct,Posted,USD
SO100213,2024-01-15,CUST0268,LOC005,SP015,E-commerce,Posted,USD
SO100214,2024-01-15,CUST0088,LOC003,SP008,Partner,Posted,USD
SO100215,2024-01-15,CUST0107,LOC002,SP006,Partner,Posted,USD
SO100216,2024-01-15,CUST0048,LOC003,SP007,Direct,Posted,USD
SO100217,2024-01-15,CUST0046,LOC005,SP014,Partner,Posted,USD
SO100218,2024-01-15,CUST0282,LOC003,SP009,Direct,Posted,USD
SO100219,2024-01-16,CUST0290,LOC001,SP003,E-commerce,Posted,USD
SO100220,2024-01-16,CUST0028,LOC005,SP013,E-commerce,Posted,USD
SO100221,2024-01-16,CUST0163,LOC006,SP017,E-commerce,Posted,USD
SO100222,2024-01-16,CUST0030,LOC003,SP007,Direct,Posted,USD
SO100223,2024-01-16,CUST0067,LOC004,SP012,Direct,Posted,USD
SO100224,2024-01-16,CUST0177,LOC003,SP008,Direct,Posted,USD
SO100225,2024-01-16,CUST0291,LOC003,SP007,Direct,Posted,USD
SO100226,2024-01-16,CUST0282,LOC001,SP002,Partner,Posted,USD
SO100227,2024-01-16,CUST0091,LOC003,SP008,E-commerce,Posted,USD
SO100228,2024-01-16,CUST0202,LOC002,SP004,E-commerce,Posted,USD
SO100229,2024-01-16,CUST0283,LOC001,SP002,Direct,Posted,USD
SO100230,2024-01-16,CUST0088,LOC001,SP001,E-commerce,Posted,USD
SO100231,2024-01-16,CUST0001,LOC004,SP012,E-commerce,Posted,USD
SO100232,2024-01-16,CUST0067,LOC004,SP011,Partner,Posted,USD
SO100233,2024-01-16,CUST0165,LOC002,SP004,E-commerce,Posted,USD
SO100234,2024-01-16,CUST0045,LOC003,SP007,E-commerce,Posted,USD
SO100235,2024-01-16,CUST0031,LOC006,SP016,Direct,Posted,USD
SO100236,2024-01-16,CUST0124,LOC003,SP009,E-commerce,Posted,USD
SO100237,2024-01-16,CUST0179,LOC003,SP007,E-commerce,Posted,USD
SO100238,2024-01-17,CUST0265,LOC005,SP014,Direct,Posted,USD
SO100239,2024-01-17,CUST0222,LOC006,SP017,Direct,Posted,USD
SO100240,2024-01-17,CUST0106,LOC005,SP015,Partner,Posted,USD
SO100241,2024-01-17,CUST0127,LOC003,SP007,E-commerce,Posted,USD
SO100242,2024-01-17,CUST0054,LOC001,SP001,E-commerce,Posted,USD
SO100243,2024-01-17,CUST0033,LOC002,SP006,Direct,Posted,USD
SO100244,2024-01-17,CUST0225,LOC001,SP003,Partner,Posted,USD
SO100245,2024-01-17,CUST0125,LOC005,SP013,Direct,Posted,USD
SO100246,2024-01-17,CUST0046,LOC003,SP009,Partner,Posted,USD
SO100247,2024-01-17,CUST0203,LOC004,SP010,Direct,Posted,USD
SO100248,2024-01-17,CUST0125,LOC002,SP005,E-commerce,Posted,USD
SO100249,2024-01-17,CUST0251,LOC003,SP007,E-commerce,Posted,USD
SO100250,2024-01-18,CUST0204,LOC005,SP013,Direct,Posted,USD
SO100251,2024-01-18,CUST0193,LOC003,SP008,E-commerce,Posted,USD
SO100252,2024-01-18,CUST0018,LOC001,SP003,E-commerce,Posted,USD
SO100253,2024-01-18,CUST0054,LOC005,SP014,E-commerce,Posted,USD
SO100254,2024-01-18,CUST0078,LOC003,SP007,Partner,Posted,USD
SO100255,2024-01-18,CUST0268,LOC003,SP009,Direct,Posted,USD
SO100256,2024-01-18,CUST0051,LOC001,SP001,E-commerce,Posted,USD
SO100257,2024-01-18,CUST0276,LOC003,SP008,E-commerce,Posted,USD
SO100258,2024-01-18,CUST0210,LOC002,SP006,Direct,Posted,USD
SO100259,2024-01-18,CUST0018,LOC006,SP016,E-commerce,Posted,USD
SO100260,2024-01-18,CUST0130,LOC001,SP003,Direct,Posted,USD
SO100261,2024-01-18,CUST0037,LOC003,SP007,Direct,Posted,USD
SO100262,2024-01-18,CUST0105,LOC006,SP017,Direct,Posted,USD
SO100263,2024-01-18,CUST0082,LOC002,SP005,Partner,Posted,USD
SO100264,2024-01-18,CUST0012,LOC002,SP005,Direct,Posted,USD
SO100265,2024-01-18,CUST0270,LOC005,SP013,Direct,Posted,USD
SO100266,2024-01-18,CUST0296,LOC005,SP014,Direct,Posted,USD
SO100267,2024-01-18,CUST0051,LOC004,SP012,Partner,Posted,USD
SO100268,2024-01-18,CUST0100,LOC002,SP006,E-commerce,Posted,USD
SO100269,2024-01-18,CUST0091,LOC002,SP005,E-commerce,Posted,USD
SO100270,2024-01-18,CUST0298,LOC005,SP013,E-commerce,Posted,USD
SO100271,2024-01-18,CUST0212,LOC004,SP012,E-commerce,Posted,USD
SO100272,2024-01-18,CUST0134,LOC004,SP012,E-commerce,Posted,USD
SO100273,2024-01-18,CUST0082,LOC003,SP009,Direct,Posted,USD
SO100274,2024-01-19,CUST0149,LOC003,SP009,Partner,Posted,USD
SO100275,2024-01-19,CUST0295,LOC004,SP011,Direct,Posted,USD
SO100276,2024-01-19,CUST0273,LOC005,SP015,E-commerce,Posted,USD
SO100277,2024-01-19,CUST0191,LOC004,SP010,E-commerce,Posted,USD
SO100278,2024-01-19,CUST0074,LOC003,SP008,Partner,Posted,USD
SO100279,2024-01-19,CUST0093,LOC001,SP002,Direct,Posted,USD
SO100280,2024-01-19,CUST0149,LOC005,SP014,Direct,Posted,USD
SO100281,2024-01-19,CUST0251,LOC005,SP014,E-commerce,Posted,USD
SO100282,2024-01-19,CUST0037,LOC005,SP015,E-commerce,Posted,USD
SO100283,2024-01-19,CUST0117,LOC001,SP002,E-commerce,Posted,USD
SO100284,2024-01-19,CUST0273,LOC006,SP018,Direct,Posted,USD
SO100285,2024-01-19,CUST0109,LOC003,SP007,Partner,Posted,USD
SO100286,2024-01-19,CUST0197,LOC001,SP002,Direct,Posted,USD
SO100287,2024-01-19,CUST0107,LOC003,SP009,Direct,Posted,USD
SO100288,2024-01-19,CUST0195,LOC001,SP003,Direct,Posted,USD
SO100289,2024-01-19,CUST0148,LOC004,SP010,E-commerce,Posted,USD
SO100290,2024-01-20,CUST0084,LOC005,SP014,Partner,Posted,USD
SO100291,2024-01-20,CUST0175,LOC001,SP003,Direct,Posted,USD
SO100292,2024-01-20,CUST0018,LOC002,SP005,Direct,Posted,USD
SO100293,2024-01-20,CUST0173,LOC005,SP013,Partner,Posted,USD
SO100294,2024-01-20,CUST0206,LOC005,SP013,E-commerce,Posted,USD
SO100295,2024-01-20,CUST0243,LOC002,SP006,E-commerce,Posted,USD
SO100296,2024-01-20,CUST0004,LOC002,SP004,Partner,Posted,USD
SO100297,2024-01-20,CUST0287,LOC001,SP003,E-commerce,Posted,USD
SO100298,2024-01-20,CUST0106,LOC003,SP007,Partner,Posted,USD
SO100299,2024-01-20,CUST0242,LOC005,SP013,E-commerce,Posted,USD
SO100300,2024-01-20,CUST0253,LOC003,SP007,Direct,Posted,USD
SO100301,2024-01-20,CUST0138,LOC003,SP007,E-commerce,Posted,USD
SO100302,2024-01-20,CUST0254,LOC005,SP013,E-commerce,Posted,USD
SO100303,2024-01-21,CUST0004,LOC003,SP008,Direct,Posted,USD
SO100304,2024-01-21,CUST0132,LOC005,SP014,E-commerce,Posted,USD
SO100305,2024-01-21,CUST0261,LOC001,SP001,Direct,Posted,USD
SO100306,2024-01-21,CUST0012,LOC002,SP006,Direct,Posted,USD
SO100307,2024-01-21,CUST0056,LOC005,SP015,Direct,Posted,USD
SO100308,2024-01-21,CUST0093,LOC001,SP001,E-commerce,Posted,USD
SO100309,2024-01-21,CUST0148,LOC005,SP013,Partner,Posted,USD
SO100310,2024-01-21,CUST0139,LOC002,SP006,Direct,Posted,USD
SO100311,2024-01-21,CUST0281,LOC001,SP002,Partner,Posted,USD
SO100312,2024-01-21,CUST0157,LOC001,SP002,Direct,Posted,USD
SO100313,2024-01-21,CUST0285,LOC005,SP013,Direct,Posted,USD
SO100314,2024-01-21,CUST0252,LOC001,SP003,Partner,Posted,USD
SO100315,2024-01-22,CUST0046,LOC005,SP014,E-commerce,Posted,USD
SO100316,2024-01-22,CUST0044,LOC002,SP004,Partner,Posted,USD
SO100317,2024-01-22,CUST0297,LOC002,SP006,Direct,Posted,USD
SO100318,2024-01-22,CUST0055,LOC001,SP001,Direct,Posted,USD
SO100319,2024-01-22,CUST0205,LOC006,SP017,Partner,Posted,USD
SO100320,2024-01-22,CUST0167,LOC002,SP004,Direct,Posted,USD
SO100321,2024-01-22,CUST0210,LOC001,SP003,E-commerce,Posted,USD
SO100322,2024-01-22,CUST0067,LOC006,SP016,E-commerce,Posted,USD
SO100323,2024-01-22,CUST0135,LOC001,SP002,Partner,Posted,USD
SO100324,2024-01-22,CUST0261,LOC001,SP002,E-commerce,Posted,USD
SO100325,2024-01-22,CUST0115,LOC003,SP009,Direct,Posted,USD
SO100326,2024-01-22,CUST0209,LOC004,SP010,Direct,Posted,USD
SO100327,2024-01-22,CUST0109,LOC002,SP005,E-commerce,Posted,USD
SO100328,2024-01-23,CUST0285,LOC004,SP011,Direct,Posted,USD
SO100329,2024-01-23,CUST0213,LOC006,SP017,Direct,Posted,USD
SO100330,2024-01-23,CUST0226,LOC001,SP002,Partner,Posted,USD
SO100331,2024-01-23,CUST0099,LOC003,SP008,E-commerce,Posted,USD
SO100332,2024-01-23,CUST0232,LOC002,SP005,E-commerce,Posted,USD
SO100333,2024-01-23,CUST0180,LOC006,SP017,Direct,Posted,USD
SO100334,2024-01-23,CUST0296,LOC001,SP002,Partner,Posted,USD
SO100335,2024-01-23,CUST0188,LOC005,SP015,Direct,Posted,USD
SO100336,2024-01-23,CUST0279,LOC002,SP006,E-commerce,Posted,USD
SO100337,2024-01-23,CUST0266,LOC006,SP016,Direct,Posted,USD
SO100338,2024-01-23,CUST0107,LOC003,SP007,Direct,Posted,USD
SO100339,2024-01-23,CUST0044,LOC001,SP001,Direct,Posted,USD
SO100340,2024-01-23,CUST0002,LOC005,SP014,Direct,Posted,USD
SO100341,2024-01-23,CUST0228,LOC003,SP008,Direct,Posted,USD
SO100342,2024-01-23,CUST0164,LOC005,SP013,E-commerce,Posted,USD
SO100343,2024-01-23,CUST0057,LOC005,SP013,Partner,Posted,USD
SO100344,2024-01-23,CUST0237,LOC006,SP016,Partner,Posted,USD
SO100345,2024-01-23,CUST0272,LOC002,SP005,Direct,Posted,USD
SO100346,2024-01-23,CUST0149,LOC002,SP005,Partner,Posted,USD
SO100347,2024-01-23,CUST0286,LOC005,SP013,Direct,Posted,USD
SO100348,2024-01-23,CUST0121,LOC002,SP005,Partner,Posted,USD
SO100349,2024-01-23,CUST0293,LOC001,SP002,Direct,Posted,USD
SO100350,2024-01-23,CUST0138,LOC001,SP002,E-commerce,Posted,USD
SO100351,2024-01-24,CUST0153,LOC001,SP002,E-commerce,Posted,USD
SO100352,2024-01-24,CUST0208,LOC005,SP013,E-commerce,Posted,USD
SO100353,2024-01-24,CUST0059,LOC003,SP008,Direct,Posted,USD
SO100354,2024-01-24,CUST0238,LOC004,SP010,E-commerce,Posted,USD
SO100355,2024-01-24,CUST0027,LOC005,SP014,Direct,Posted,USD
SO100356,2024-01-24,CUST0164,LOC002,SP004,Direct,Posted,USD
SO100357,2024-01-24,CUST0065,LOC004,SP012,E-commerce,Posted,USD
SO100358,2024-01-24,CUST0278,LOC006,SP017,E-commerce,Posted,USD
SO100359,2024-01-24,CUST0170,LOC006,SP017,Partner,Posted,USD
