sales_line_id,sales_order_id,item_id,quantity,unit_price,unit_cost,discount_pct
LINE0000041,SO100026,ITEM0090,2,387.07,287.65,0.05
LINE0000042,SO100027,ITEM0087,3,832.81,532.53,0.05
LINE0000043,SO100028,ITEM0019,6,284.17,185.32,0.03
LINE0000044,SO100028,ITEM0070,4,615.6,403.05,0.03
LINE0000045,SO100029,ITEM0049,6,57.72,40.58,0.0
LINE0000046,SO100030,ITEM0032,3,543.37,397.79,0.05
LINE0000047,SO100031,ITEM0058,3,631.39,369.45,0.0
LINE0000048,SO100031,ITEM0022,3,104.98,66.39,0.0
LINE0000049,SO100032,ITEM0076,1,86.04,61.93,0.0
LINE0000050,SO100032,ITEM0009,10,675.31,379.29,0.0
LINE0000051,SO100032,ITEM0082,6,424.94,301.6,0.0
LINE0000052,SO100033,ITEM0048,8,832.04,546.3,0.05
LINE0000053,SO100034,ITEM0058,5,612.45,369.45,0.03
LINE0000054,SO100034,ITEM0040,2,723.3,480.61,0.0
LINE0000055,SO100035,ITEM0069,1,395.24,304.56,0.15
LINE0000056,SO100035,ITEM0066,2,547.42,303.8,0.03
LINE0000057,SO100036,ITEM0023,4,647.23,365.27,0.08
LINE0000058,SO100036,ITEM0019,3,284.17,185.32,0.03
LINE0000059,SO100036,ITEM0076,1,73.13,61.93,0.15
LINE0000060,SO100037,ITEM0083,8,610.18,383.33,0.05
LINE0000061,SO100037,ITEM0006,5,523.19,358.99,0.05
LINE0000062,SO100037,ITEM0008,1,293.15,201.87,0.0
LINE0000063,SO100038,ITEM0028,2,753.74,465.24,0.1
LINE0000064,SO100039,ITEM0028,10,711.87,465.24,0.15
LINE0000065,SO100039,ITEM0038,10,521.49,371.85,0.0
LINE0000066,SO100039,ITEM0088,2,822.88,456.45,0.1
LINE0000067,SO100040,ITEM0089,8,102.35,50.8,0.0
LINE0000068,SO100041,ITEM0080,1,373.32,275.75,0.03
LINE0000069,SO100042,ITEM0004,1,548.48,281.53,0.05
LINE0000070,SO100042,ITEM0012,3,559.92,397.08,0.05
LINE0000071,SO100042,ITEM0040,5,723.3,480.61,0.0
LINE0000072,SO100043,ITEM0092,4,105.43,73.09,0.08
LINE0000073,SO100043,ITEM0024,3,285.65,200.55,0.0
LINE0000074,SO100044,ITEM0024,8,262.8,200.55,0.08
LINE0000075,SO100044,ITEM0049,2,53.1,40.58,0.08
LINE0000076,SO100045,ITEM0006,8,468.12,358.99,0.15
LINE0000077,SO100046,ITEM0027,8,405.06,200.86,0.0
LINE0000078,SO100047,ITEM0044,8,501.99,253.78,0.0
LINE0000079,SO100047,ITEM0069,10,464.99,304.56,0.0
LINE0000080,SO100048,ITEM0044,1,476.89,253.78,0.05
LINE0000081,SO100048,ITEM0007,2,493.03,285.58,0.08
LINE0000082,SO100049,ITEM0007,6,519.82,285.58,0.03
LINE0000083,SO100050,ITEM0041,4,130.19,82.69,0.08
LINE0000084,SO100051,ITEM0098,3,851.8,470.94,0.1
LINE0000085,SO100051,ITEM0051,5,901.72,451.36,0.0
LINE0000086,SO100052,ITEM0085,2,709.52,350.95,0.0
LINE0000087,SO100053,ITEM0088,10,914.31,456.45,0.0
LINE0000088,SO100053,ITEM0051,4,901.72,451.36,0.0
LINE0000089,SO100054,ITEM0048,6,875.83,546.3,0.0
LINE0000090,SO100055,ITEM0031,10,646.15,437.48,0.1
LINE0000091,SO100056,ITEM0008,2,293.15,201.87,0.0
LINE0000092,SO100056,ITEM0079,8,785.49,575.96,0.05
LINE0000093,SO100056,ITEM0047,4,514.91,353.99,0.03
LINE0000094,SO100057,ITEM0048,6,875.83,546.3,0.0
LINE0000095,SO100057,ITEM0039,6,659.06,334.47,0.0
LINE0000096,SO100058,ITEM0005,3,238.96,143.68,0.0
LINE0000097,SO100058,ITEM0010,10,235.94,156.48,0.0
LINE0000098,SO100058,ITEM0096,8,442.39,320.6,0.03
LINE0000099,SO100059,ITEM0068,8,639.67,361.43,0.0
LINE0000100,SO100060,ITEM0084,2,300.7,220.87,0.03
LINE0000101,SO100061,ITEM0096,4,410.46,320.6,0.1
LINE0000102,SO100062,ITEM0008,5,263.83,201.87,0.1
LINE0000103,SO100063,ITEM0066,10,536.13,303.8,0.05
LINE0000104,SO100064,ITEM0035,4,798.89,425.54,0.03
LINE0000105,SO100065,ITEM0047,10,514.91,353.99,0.03
LINE0000106,SO100065,ITEM0032,1,571.97,397.79,0.0
LINE0000107,SO100065,ITEM0049,6,51.95,40.58,0.1
LINE0000108,SO100066,ITEM0075,6,713.28,531.42,0.08
LINE0000109,SO100067,ITEM0086,10,78.22,57.07,0.15
LINE0000110,SO100067,ITEM0030,10,434.68,248.72,0.05
LINE0000111,SO100068,ITEM0081,1,750.66,590.31,0.15
LINE0000112,SO100068,ITEM0060,4,337.23,215.96,0.03
LINE0000113,SO100069,ITEM0078,10,181.77,114.14,0.05
LINE0000114,SO100069,ITEM0016,4,204.23,106.78,0.05
LINE0000115,SO100070,ITEM0074,1,267.32,187.55,0.0
LINE0000116,SO100071,ITEM0028,5,812.37,465.24,0.03
LINE0000117,SO100071,ITEM0047,3,477.75,353.99,0.1
LINE0000118,SO100072,ITEM0097,8,48.48,30.5,0.0
LINE0000119,SO100073,ITEM0082,2,424.94,301.6,0.0
LINE0000120,SO100073,ITEM0019,2,292.96,185.32,0.0
LINE0000121,SO100074,ITEM0049,2,55.99,40.58,0.03
LINE0000122,SO100074,ITEM0008,1,263.83,201.87,0.1
LINE0000123,SO100074,ITEM0062,10,522.16,328.62,0.15
LINE0000124,SO100075,ITEM0019,6,278.31,185.32,0.05
LINE0000125,SO100076,ITEM0054,8,901.63,468.51,0.0
LINE0000126,SO100076,ITEM0071,1,373.88,228.16,0.08
LINE0000127,SO100076,ITEM0025,2,464.8,352.32,0.15
LINE0000128,SO100077,ITEM0013,8,412.27,233.6,0.1
LINE0000129,SO100078,ITEM0042,3,39.51,28.06,0.08
LINE0000130,SO100079,ITEM0077,6,894.14,647.4,0.03
LINE0000131,SO100079,ITEM0033,3,314.01,265.75,0.15
LINE0000132,SO100079,ITEM0085,3,674.04,350.95,0.05
LINE0000133,SO100080,ITEM0097,2,41.21,30.5,0.15
LINE0000134,SO100080,ITEM0098,2,870.73,470.94,0.08
LINE0000135,SO100081,ITEM0075,8,697.77,531.42,0.1
LINE0000136,SO100081,ITEM0004,1,519.62,281.53,0.1
LINE0000137,SO100082,ITEM0045,8,302.23,197.34,0.03
LINE0000138,SO100082,ITEM0088,6,868.59,456.45,0.05
LINE0000139,SO100082,ITEM0037,6,358.93,243.06,0.08
LINE0000140,SO100083,ITEM0050,10,245.0,138.7,0.05
LINE0000141,SO100084,ITEM0051,4,829.58,451.36,0.08
LINE0000142,SO100085,ITEM0068,4,607.69,361.43,0.05
LINE0000143,SO100086,ITEM0009,10,621.29,379.29,0.08
LINE0000144,SO100086,ITEM0039,4,659.06,334.47,0.0
LINE0000145,SO100087,ITEM0046,2,203.33,125.92,0.08
LINE0000146,SO100088,ITEM0067,10,736.08,407.32,0.05
LINE0000147,SO100088,ITEM0075,8,775.3,531.42,0.0
LINE0000148,SO100089,ITEM0100,4,841.59,581.56,0.0
LINE0000149,SO100089,ITEM0062,10,583.58,328.62,0.05
LINE0000150,SO100090,ITEM0054,1,874.58,468.51,0.03
LINE0000151,SO100091,ITEM0004,4,577.35,281.53,0.0
LINE0000152,SO100092,ITEM0045,4,296.0,197.34,0.05
LINE0000153,SO100092,ITEM0086,4,78.22,57.07,0.15
LINE0000154,SO100093,ITEM0080,8,384.87,275.75,0.0
LINE0000155,SO100094,ITEM0053,5,626.37,376.42,0.15
LINE0000156,SO100094,ITEM0100,8,774.26,581.56,0.08
LINE0000157,SO100095,ITEM0057,1,200.74,123.75,0.1
LINE0000158,SO100096,ITEM0087,3,850.34,532.53,0.03
LINE0000159,SO100096,ITEM0002,5,262.85,134.97,0.0
LINE0000160,SO100097,ITEM0043,3,271.29,167.85,0.03
LINE0000161,SO100097,ITEM0035,10,757.71,425.54,0.08
LINE0000162,SO100098,ITEM0002,1,241.82,134.97,0.08
LINE0000163,SO100098,ITEM0020,10,169.22,106.28,0.1
LINE0000164,SO100099,ITEM0053,6,677.96,376.42,0.08
LINE0000165,SO100100,ITEM0004,6,577.35,281.53,0.0
LINE0000166,SO100101,ITEM0097,2,48.48,30.5,0.0
LINE0000167,SO100102,ITEM0036,8,737.97,442.26,0.03
LINE0000168,SO100103,ITEM0069,1,441.74,304.56,0.05
LINE0000169,SO100104,ITEM0067,2,774.82,407.32,0.0
LINE0000170,SO100105,ITEM0082,8,424.94,301.6,0.0
LINE0000171,SO100105,ITEM0040,8,665.44,480.61,0.08
LINE0000172,SO100106,ITEM0036,2,722.75,442.26,0.05
LINE0000173,SO100107,ITEM0066,3,564.35,303.8,0.0
LINE0000174,SO100108,ITEM0066,6,536.13,303.8,0.05
LINE0000175,SO100108,ITEM0002,2,262.85,134.97,0.0
LINE0000176,SO100109,ITEM0075,1,697.77,531.42,0.1
LINE0000177,SO100109,ITEM0072,3,266.28,139.97,0.0
LINE0000178,SO100109,ITEM0089,6,92.12,50.8,0.1
LINE0000179,SO100110,ITEM0099,3,425.31,256.08,0.15
LINE0000180,SO100111,ITEM0094,2,649.45,360.71,0.0
LINE0000181,SO100112,ITEM0095,2,360.15,256.59,0.1
LINE0000182,SO100112,ITEM0065,8,152.38,113.01,0.05
LINE0000183,SO100113,ITEM0089,5,102.35,50.8,0.0
LINE0000184,SO100113,ITEM0081,2,794.82,590.31,0.1
LINE0000185,SO100114,ITEM0042,10,40.8,28.06,0.05
LINE0000186,SO100115,ITEM0027,2,384.81,200.86,0.05
LINE0000187,SO100115,ITEM0035,10,798.89,425.54,0.03
LINE0000188,SO100115,ITEM0084,8,310.0,220.87,0.0
LINE0000189,SO100116,ITEM0046,5,214.38,125.92,0.03
LINE0000190,SO100116,ITEM0026,5,240.98,121.16,0.03
LINE0000191,SO100117,ITEM0011,3,124.4,62.6,0.0
LINE0000192,SO100118,ITEM0035,2,782.42,425.54,0.05
LINE0000193,SO100118,ITEM0057,2,216.36,123.75,0.03
LINE0000194,SO100118,ITEM0056,10,814.49,585.42,0.08
LINE0000195,SO100119,ITEM0002,3,241.82,134.97,0.08
LINE0000196,SO100119,ITEM0037,8,390.14,243.06,0.0
LINE0000197,SO100119,ITEM0007,1,535.9,285.58,0.0
LINE0000198,SO100120,ITEM0045,1,302.23,197.34,0.03
LINE0000199,SO100120,ITEM0061,3,575.48,277.22,0.0
LINE0000200,SO100121,ITEM0098,6,946.45,470.94,0.0
LINE0000201,SO100121,ITEM0020,4,188.02,106.28,0.0
LINE0000202,SO100121,ITEM0092,4,108.87,73.09,0.05
LINE0000203,SO100122,ITEM0011,2,124.4,62.6,0.0
LINE0000204,SO100123,ITEM0016,2,214.98,106.78,0.0
LINE0000205,SO100123,ITEM0063,4,797.6,408.67,0.03
LINE0000206,SO100124,ITEM0007,2,509.1,285.58,0.05
LINE0000207,SO100125,ITEM0046,5,209.96,125.92,0.05
LINE0000208,SO100126,ITEM0024,10,285.65,200.55,0.0
LINE0000209,SO100126,ITEM0022,6,104.98,66.39,0.0
LINE0000210,SO100127,ITEM0049,5,57.72,40.58,0.0
LINE0000211,SO100127,ITEM0092,3,108.87,73.09,0.05
LINE0000212,SO100127,ITEM0003,2,655.8,455.21,0.0
LINE0000213,SO100128,ITEM0059,3,437.32,243.23,0.03
LINE0000214,SO100128,ITEM0006,2,550.73,358.99,0.0
LINE0000215,SO100128,ITEM0019,4,278.31,185.32,0.05
LINE0000216,SO100129,ITEM0099,6,475.34,256.08,0.05
LINE0000217,SO100129,ITEM0033,10,358.34,265.75,0.03
LINE0000218,SO100129,ITEM0067,6,774.82,407.32,0.0
LINE0000219,SO100130,ITEM0089,4,102.35,50.8,0.0
LINE0000220,SO100130,ITEM0012,1,542.24,397.08,0.08
LINE0000221,SO100130,ITEM0084,6,285.2,220.87,0.08
LINE0000222,SO100131,ITEM0076,5,86.04,61.93,0.0
LINE0000223,SO100132,ITEM0034,6,453.3,252.75,0.1
LINE0000224,SO100132,ITEM0059,3,437.32,243.23,0.03
LINE0000225,SO100132,ITEM0054,5,829.5,468.51,0.08
LINE0000226,SO100133,ITEM0003,2,623.01,455.21,0.05
LINE0000227,SO100133,ITEM0059,1,414.78,243.23,0.08
LINE0000228,SO100134,ITEM0092,5,105.43,73.09,0.08
LINE0000229,SO100134,ITEM0049,6,57.72,40.58,0.0
LINE0000230,SO100135,ITEM0011,1,124.4,62.6,0.0
LINE0000231,SO100135,ITEM0090,1,387.07,287.65,0.05
LINE0000232,SO100136,ITEM0049,6,57.72,40.58,0.0
LINE0000233,SO100136,ITEM0069,8,464.99,304.56,0.0
LINE0000234,SO100137,ITEM0060,10,347.66,215.96,0.0
LINE0000235,SO100137,ITEM0004,6,531.16,281.53,0.08
LINE0000236,SO100137,ITEM0097,8,47.03,30.5,0.03
LINE0000237,SO100138,ITEM0006,10,523.19,358.99,0.05
LINE0000238,SO100139,ITEM0056,5,814.49,585.42,0.08
LINE0000239,SO100139,ITEM0035,10,798.89,425.54,0.03
LINE0000240,SO100139,ITEM0079,2,826.83,575.96,0.0
LINE0000241,SO100140,ITEM0100,5,841.59,581.56,0.0
LINE0000242,SO100140,ITEM0056,6,796.78,585.42,0.1
LINE0000243,SO100141,ITEM0048,6,849.56,546.3,0.03
LINE0000244,SO100142,ITEM0093,10,474.47,363.24,0.08
LINE0000245,SO100142,ITEM0017,5,247.39,135.93,0.0
LINE0000246,SO100143,ITEM0039,1,639.29,334.47,0.03
LINE0000247,SO100144,ITEM0013,6,421.43,233.6,0.08
LINE0000248,SO100145,ITEM0002,6,262.85,134.97,0.0
LINE0000249,SO100146,ITEM0045,10,302.23,197.34,0.03
LINE0000250,SO100146,ITEM0094,3,597.49,360.71,0.08
LINE0000251,SO100147,ITEM0085,1,674.04,350.95,0.05
LINE0000252,SO100147,ITEM0083,3,642.3,383.33,0.0
LINE0000253,SO100148,ITEM0046,8,209.96,125.92,0.05
LINE0000254,SO100148,ITEM0019,10,292.96,185.32,0.0
LINE0000255,SO100148,ITEM0022,6,104.98,66.39,0.0
LINE0000256,SO100149,ITEM0054,5,856.55,468.51,0.05
LINE0000257,SO100149,ITEM0027,8,405.06,200.86,0.0
LINE0000258,SO100150,ITEM0029,4,469.58,342.22,0.05
LINE0000259,SO100150,ITEM0038,1,521.49,371.85,0.0
LINE0000260,SO100151,ITEM0058,6,568.25,369.45,0.1
LINE0000261,SO100152,ITEM0022,4,94.48,66.39,0.1
LINE0000262,SO100153,ITEM0100,4,757.43,581.56,0.1
LINE0000263,SO100154,ITEM0074,1,253.95,187.55,0.05
LINE0000264,SO100154,ITEM0006,3,534.21,358.99,0.03
LINE0000265,SO100155,ITEM0100,1,715.35,581.56,0.15
LINE0000266,SO100156,ITEM0080,6,346.38,275.75,0.1
LINE0000267,SO100156,ITEM0034,1,428.12,252.75,0.15
LINE0000268,SO100157,ITEM0011,10,114.45,62.6,0.08
LINE0000269,SO100158,ITEM0019,8,278.31,185.32,0.05
LINE0000270,SO100158,ITEM0013,3,389.37,233.6,0.15
LINE0000271,SO100158,ITEM0091,10,256.14,164.43,0.03
LINE0000272,SO100159,ITEM0040,3,723.3,480.61,0.0
LINE0000273,SO100160,ITEM0071,1,386.07,228.16,0.05
LINE0000274,SO100161,ITEM0096,6,456.07,320.6,0.0
LINE0000275,SO100162,ITEM0036,10,722.75,442.26,0.05
LINE0000276,SO100163,ITEM0011,4,118.18,62.6,0.05
LINE0000277,SO100164,ITEM0054,10,829.5,468.51,0.08
LINE0000278,SO100164,ITEM0080,10,327.14,275.75,0.15
LINE0000279,SO100165,ITEM0011,1,118.18,62.6,0.05
LINE0000280,SO100165,ITEM0094,1,552.03,360.71,0.15
LINE0000281,SO100166,ITEM0013,5,389.37,233.6,0.15
LINE0000282,SO100166,ITEM0084,8,294.5,220.87,0.05
LINE0000283,SO100166,ITEM0039,6,639.29,334.47,0.03
LINE0000284,SO100167,ITEM0035,4,741.24,425.54,0.1
LINE0000285,SO100167,ITEM0074,10,267.32,187.55,0.0
LINE0000286,SO100167,ITEM0066,2,507.92,303.8,0.1
LINE0000287,SO100168,ITEM0056,4,885.31,585.42,0.0
LINE0000288,SO100168,ITEM0060,4,312.89,215.96,0.1
LINE0000289,SO100169,ITEM0097,2,44.6,30.5,0.08
LINE0000290,SO100170,ITEM0033,8,314.01,265.75,0.15
LINE0000291,SO100170,ITEM0082,5,424.94,301.6,0.0
LINE0000292,SO100171,ITEM0083,1,610.18,383.33,0.05
LINE0000293,SO100171,ITEM0058,2,612.45,369.45,0.03
LINE0000294,SO100172,ITEM0087,8,832.81,532.53,0.05
LINE0000295,SO100172,ITEM0022,4,101.83,66.39,0.03
LINE0000296,SO100173,ITEM0031,2,646.15,437.48,0.1
LINE0000297,SO100173,ITEM0024,10,285.65,200.55,0.0
LINE0000298,SO100173,ITEM0087,3,832.81,532.53,0.05
LINE0000299,SO100174,ITEM0065,1,160.4,113.01,0.0
LINE0000300,SO100175,ITEM0045,6,302.23,197.34,0.03
LINE0000301,SO100176,ITEM0076,6,73.13,61.93,0.15
LINE0000302,SO100176,ITEM0043,10,237.73,167.85,0.15
LINE0000303,SO100177,ITEM0050,10,250.16,138.7,0.03
LINE0000304,SO100178,ITEM0077,6,875.7,647.4,0.05
LINE0000305,SO100178,ITEM0073,3,167.57,87.81,0.0
LINE0000306,SO100179,ITEM0042,2,42.95,28.06,0.0
LINE0000307,SO100180,ITEM0016,2,214.98,106.78,0.0
LINE0000308,SO100181,ITEM0078,10,176.03,114.14,0.08
LINE0000309,SO100182,ITEM0070,2,615.6,403.05,0.03
LINE0000310,SO100183,ITEM0001,1,572.13,302.24,0.08
LINE0000311,SO100184,ITEM0089,8,87.0,50.8,0.15
LINE0000312,SO100185,ITEM0021,5,274.46,199.42,0.03
LINE0000313,SO100186,ITEM0035,5,798.89,425.54,0.03
LINE0000314,SO100187,ITEM0072,4,258.29,139.97,0.03
LINE0000315,SO100188,ITEM0039,5,659.06,334.47,0.0
LINE0000316,SO100189,ITEM0053,5,736.91,376.42,0.0
LINE0000317,SO100190,ITEM0048,3,875.83,546.3,0.0
LINE0000318,SO100191,ITEM0087,8,876.64,532.53,0.0
LINE0000319,SO100192,ITEM0078,4,181.77,114.14,0.05
LINE0000320,SO100192,ITEM0027,5,364.55,200.86,0.1
LINE0000321,SO100193,ITEM0026,8,240.98,121.16,0.03
LINE0000322,SO100194,ITEM0081,5,838.97,590.31,0.05
LINE0000323,SO100195,ITEM0020,10,188.02,106.28,0.0
LINE0000324,SO100195,ITEM0060,2,337.23,215.96,0.03
LINE0000325,SO100196,ITEM0049,6,53.1,40.58,0.08
LINE0000326,SO100197,ITEM0053,2,700.06,376.42,0.05
LINE0000327,SO100198,ITEM0077,5,848.05,647.4,0.08
LINE0000328,SO100199,ITEM0011,1,124.4,62.6,0.0
LINE0000329,SO100200,ITEM0059,8,450.85,243.23,0.0
LINE0000330,SO100201,ITEM0022,3,99.73,66.39,0.05
LINE0000331,SO100201,ITEM0075,10,752.04,531.42,0.03
LINE0000332,SO100202,ITEM0077,5,848.05,647.4,0.08
LINE0000333,SO100202,ITEM0057,8,189.59,123.75,0.15
LINE0000334,SO100203,ITEM0013,4,412.27,233.6,0.1
LINE0000335,SO100203,ITEM0018,1,777.42,562.98,0.05
LINE0000336,SO100204,ITEM0066,10,547.42,303.8,0.03
LINE0000337,SO100205,ITEM0014,5,111.71,61.48,0.0
LINE0000338,SO100205,ITEM0074,5,240.59,187.55,0.1
LINE0000339,SO100206,ITEM0021,1,240.51,199.42,0.15
LINE0000340,SO100206,ITEM0012,2,589.39,397.08,0.0
LINE0000341,SO100207,ITEM0064,8,269.94,175.02,0.08
LINE0000342,SO100208,ITEM0071,10,365.75,228.16,0.1
LINE0000343,SO100209,ITEM0027,4,372.66,200.86,0.08
LINE0000344,SO100209,ITEM0016,6,214.98,106.78,0.0
LINE0000345,SO100210,ITEM0063,1,797.6,408.67,0.03
LINE0000346,SO100211,ITEM0019,2,292.96,185.32,0.0
LINE0000347,SO100212,ITEM0084,10,285.2,220.87,0.08
LINE0000348,SO100213,ITEM0073,1,159.19,87.81,0.05
LINE0000349,SO100213,ITEM0080,5,384.87,275.75,0.0
LINE0000350,SO100214,ITEM0009,4,675.31,379.29,0.0
LINE0000351,SO100215,ITEM0099,6,450.32,256.08,0.1
LINE0000352,SO100215,ITEM0047,6,514.91,353.99,0.03
LINE0000353,SO100216,ITEM0025,2,546.82,352.32,0.0
LINE0000354,SO100216,ITEM0013,10,412.27,233.6,0.1
LINE0000355,SO100217,ITEM0001,8,572.13,302.24,0.08
LINE0000356,SO100217,ITEM0062,10,552.87,328.62,0.1
LINE0000357,SO100218,ITEM0040,8,687.13,480.61,0.05
LINE0000358,SO100219,ITEM0063,6,781.16,408.67,0.05
LINE0000359,SO100219,ITEM0026,5,236.01,121.16,0.05
LINE0000360,SO100220,ITEM0009,6,607.78,379.29,0.1
LINE0000361,SO100221,ITEM0009,2,675.31,379.29,0.0
LINE0000362,SO100222,ITEM0079,4,785.49,575.96,0.05
LINE0000363,SO100222,ITEM0092,8,111.16,73.09,0.03
LINE0000364,SO100223,ITEM0061,4,529.44,277.22,0.08
LINE0000365,SO100224,ITEM0079,5,826.83,575.96,0.0
LINE0000366,SO100224,ITEM0054,10,874.58,468.51,0.03
LINE0000367,SO100225,ITEM0038,10,495.42,371.85,0.05
LINE0000368,SO100226,ITEM0100,8,816.34,581.56,0.03
LINE0000369,SO100227,ITEM0009,10,621.29,379.29,0.08
LINE0000370,SO100228,ITEM0051,6,766.46,451.36,0.15
LINE0000371,SO100229,ITEM0041,5,141.51,82.69,0.0
LINE0000372,SO100230,ITEM0087,3,850.34,532.53,0.03
LINE0000373,SO100230,ITEM0026,8,248.43,121.16,0.0
LINE0000374,SO100231,ITEM0042,1,40.8,28.06,0.05
LINE0000375,SO100231,ITEM0020,6,182.38,106.28,0.03
LINE0000376,SO100232,ITEM0006,10,534.21,358.99,0.03
LINE0000377,SO100233,ITEM0010,1,235.94,156.48,0.0
LINE0000378,SO100233,ITEM0011,2,114.45,62.6,0.08
LINE0000379,SO100234,ITEM0023,4,703.51,365.27,0.0
LINE0000380,SO100234,ITEM0084,5,300.7,220.87,0.03
LINE0000381,SO100235,ITEM0067,8,774.82,407.32,0.0
LINE0000382,SO100236,ITEM0053,2,677.96,376.42,0.08
LINE0000383,SO100237,ITEM0090,4,366.7,287.65,0.1
LINE0000384,SO100237,ITEM0084,4,294.5,220.87,0.05
LINE0000385,SO100238,ITEM0086,4,82.82,57.07,0.1
LINE0000386,SO100239,ITEM0020,5,182.38,106.28,0.03
LINE0000387,SO100239,ITEM0009,10,655.05,379.29,0.03
LINE0000388,SO100240,ITEM0034,8,478.49,252.75,0.05
LINE0000389,SO100241,ITEM0093,5,515.73,363.24,0.0
LINE0000390,SO100242,ITEM0049,5,54.83,40.58,0.05
LINE0000391,SO100242,ITEM0060,5,347.66,215.96,0.0
LINE0000392,SO100243,ITEM0052,8,719.97,559.32,0.08
LINE0000393,SO100243,ITEM0056,6,841.04,585.42,0.05
LINE0000394,SO100244,ITEM0031,5,717.94,437.48,0.0
LINE0000395,SO100245,ITEM0076,10,73.13,61.93,0.15
LINE0000396,SO100246,ITEM0071,8,345.43,228.16,0.15
LINE0000397,SO100246,ITEM0033,4,369.42,265.75,0.0
LINE0000398,SO100247,ITEM0079,8,760.68,575.96,0.08
LINE0000399,SO100247,ITEM0072,1,266.28,139.97,0.0
LINE0000400,SO100248,ITEM0082,6,424.94,301.6,0.0
LINE0000401,SO100249,ITEM0026,2,236.01,121.16,0.05
LINE0000402,SO100249,ITEM0080,2,384.87,275.75,0.0
LINE0000403,SO100250,ITEM0055,3,792.21,484.96,0.05
LINE0000404,SO100251,ITEM0026,10,240.98,121.16,0.03
LINE0000405,SO100252,ITEM0059,4,437.32,243.23,0.03
LINE0000406,SO100252,ITEM0030,4,420.96,248.72,0.08
LINE0000407,SO100253,ITEM0072,4,252.97,139.97,0.05
LINE0000408,SO100254,ITEM0046,6,214.38,125.92,0.03
LINE0000409,SO100254,ITEM0081,4,794.82,590.31,0.1
LINE0000410,SO100255,ITEM0010,3,200.55,156.48,0.15
LINE0000411,SO100256,ITEM0095,1,400.17,256.59,0.0
LINE0000412,SO100257,ITEM0018,1,818.34,562.98,0.0
LINE0000413,SO100258,ITEM0030,8,434.68,248.72,0.05
LINE0000414,SO100258,ITEM0073,2,159.19,87.81,0.05
LINE0000415,SO100259,ITEM0053,2,714.8,376.42,0.03
LINE0000416,SO100259,ITEM0032,8,543.37,397.79,0.05
LINE0000417,SO100260,ITEM0062,4,614.3,328.62,0.0
LINE0000418,SO100261,ITEM0066,5,507.92,303.8,0.1
LINE0000419,SO100261,ITEM0032,4,543.37,397.79,0.05
LINE0000420,SO100261,ITEM0040,1,723.3,480.61,0.0
LINE0000421,SO100262,ITEM0067,3,774.82,407.32,0.0
