budget_month,location_id,budget_type,budget_amount,currency_code,status
2025-04-01,LOC004,SALES,215820.0,USD,Approved
2025-04-01,LOC005,SALES,227700.0,USD,Approved
2025-04-01,LOC006,SALES,239580.0,USD,Approved
2025-05-01,LOC001,SALES,180180.0,USD,Approved
2025-05-01,LOC002,SALES,192060.0,USD,Approved
2025-05-01,LOC003,SALES,203940.0,USD,Approved
2025-05-01,LOC004,SALES,215820.0,USD,Approved
2025-05-01,LOC005,SALES,227700.0,USD,Approved
2025-05-01,LOC006,SALES,239580.0,USD,Approved
2025-06-01,LOC001,SALES,180180.0,USD,Approved
2025-06-01,LOC002,SALES,192060.0,USD,Approved
2025-06-01,LOC003,SALES,203940.0,USD,Approved
2025-06-01,LOC004,SALES,215820.0,USD,Approved
2025-06-01,LOC005,SALES,227700.0,USD,Approved
2025-06-01,LOC006,SALES,239580.0,USD,Approved
2025-07-01,LOC001,SALES,180180.0,USD,Approved
2025-07-01,LOC002,SALES,192060.0,USD,Approved
2025-07-01,LOC003,SALES,203940.0,USD,Approved
2025-07-01,LOC004,SALES,215820.0,USD,Approved
2025-07-01,LOC005,SALES,227700.0,USD,Approved
2025-07-01,LOC006,SALES,239580.0,USD,Approved
2025-08-01,LOC001,SALES,180180.0,USD,Approved
2025-08-01,LOC002,SALES,192060.0,USD,Approved
2025-08-01,LOC003,SALES,203940.0,USD,Approved
2025-08-01,LOC004,SALES,215820.0,USD,Approved
2025-08-01,LOC005,SALES,227700.0,USD,Approved
2025-08-01,LOC006,SALES,239580.0,USD,Approved
2025-09-01,LOC001,SALES,180180.0,USD,Approved
2025-09-01,LOC002,SALES,192060.0,USD,Approved
2025-09-01,LOC003,SALES,203940.0,USD,Approved
2025-09-01,LOC004,SALES,215820.0,USD,Approved
2025-09-01,LOC005,SALES,227700.0,USD,Approved
2025-09-01,LOC006,SALES,239580.0,USD,Approved
2025-10-01,LOC001,SALES,180180.0,USD,Approved
2025-10-01,LOC002,SALES,192060.0,USD,Approved
2025-10-01,LOC003,SALES,203940.0,USD,Approved
2025-10-01,LOC004,SALES,215820.0,USD,Approved
2025-10-01,LOC005,SALES,227700.0,USD,Approved
2025-10-01,LOC006,SALES,239580.0,USD,Approved
2025-11-01,LOC001,SALES,198198.0,USD,Approved
2025-11-01,LOC002,SALES,211266.0,USD,Approved
2025-11-01,LOC003,SALES,224334.0,USD,Approved
2025-11-01,LOC004,SALES,237402.0,USD,Approved
2025-11-01,LOC005,SALES,250470.0,USD,Approved
2025-11-01,LOC006,SALES,263538.0,USD,Approved
2025-12-01,LOC001,SALES,198198.0,USD,Approved
2025-12-01,LOC002,SALES,211266.0,USD,Approved
2025-12-01,LOC003,SALES,224334.0,USD,Approved
2025-12-01,LOC004,SALES,237402.0,USD,Approved
2025-12-01,LOC005,SALES,250470.0,USD,Approved
2025-12-01,LOC006,SALES,263538.0,USD,Approved
2026-01-01,LOC001,SALES,193284.0,USD,Approved
2026-01-01,LOC002,SALES,206028.0,USD,Approved
2026-01-01,LOC003,SALES,218772.0,USD,Approved
2026-01-01,LOC004,SALES,231516.0,USD,Approved
2026-01-01,LOC005,SALES,244260.0,USD,Approved
2026-01-01,LOC006,SALES,257004.0,USD,Approved
2026-02-01,LOC001,SALES,193284.0,USD,Approved
2026-02-01,LOC002,SALES,206028.0,USD,Approved
2026-02-01,LOC003,SALES,218772.0,USD,Approved
2026-02-01,LOC004,SALES,231516.0,USD,Approved
2026-02-01,LOC005,SALES,244260.0,USD,Approved
2026-02-01,LOC006,SALES,257004.0,USD,Approved
2026-03-01,LOC001,SALES,193284.0,USD,Approved
2026-03-01,LOC002,SALES,206028.0,USD,Approved
2026-03-01,LOC003,SALES,218772.0,USD,Approved
2026-03-01,LOC004,SALES,231516.0,USD,Approved
2026-03-01,LOC005,SALES,244260.0,USD,Approved
2026-03-01,LOC006,SALES,257004.0,USD,Approved
2026-04-01,LOC001,SALES,193284.0,USD,Approved
2026-04-01,LOC002,SALES,206028.0,USD,Approved
2026-04-01,LOC003,SALES,218772.0,USD,Approved
2026-04-01,LOC004,SALES,231516.0,USD,Approved
2026-04-01,LOC005,SALES,244260.0,USD,Approved
2026-04-01,LOC006,SALES,257004.0,USD,Approved
2026-05-01,LOC001,SALES,193284.0,USD,Approved
2026-05-01,LOC002,SALES,206028.0,USD,Approved
2026-05-01,LOC003,SALES,218772.0,USD,Approved
2026-05-01,LOC004,SALES,231516.0,USD,Approved
2026-05-01,LOC005,SALES,244260.0,USD,Approved
2026-05-01,LOC006,SALES,257004.0,USD,Approved
2026-06-01,LOC001,SALES,193284.0,USD,Approved
2026-06-01,LOC002,SALES,206028.0,USD,Approved
2026-06-01,LOC003,SALES,218772.0,USD,Approved
2026-06-01,LOC004,SALES,231516.0,USD,Approved
2026-06-01,LOC005,SALES,244260.0,USD,Approved
2026-06-01,LOC006,SALES,257004.0,USD,Approved
2026-07-01,LOC001,SALES,193284.0,USD,Approved
2026-07-01,LOC002,SALES,206028.0,USD,Approved
2026-07-01,LOC003,SALES,218772.0,USD,Approved
2026-07-01,LOC004,SALES,231516.0,USD,Approved
2026-07-01,LOC005,SALES,244260.0,USD,Approved
2026-07-01,LOC006,SALES,257004.0,USD,Approved
